validez%,fid,username,Url,amigos,foto,paginas,thmb
98.333333333333,100006788072561,edu.johnny.9,https://www.facebook.com/edu.johnny.9,295,https://fbcdn-profile-a.akamaihd.net/hprofile-ak-ash2/1116748_100006788072561_225295279_n.jpg,,"=image(F2, 2)"
43.333333333333,100007414114191,anacristina.coto.9,https://www.facebook.com/anacristina.coto.9,130,https://fbcdn-profile-a.akamaihd.net/hprofile-ak-ash2/t5/1118367_100007414114191_561733317_n.jpg,,"=image(F3, 2)"
0,100005827151148,anielka.torrentes.9,https://www.facebook.com/anielka.torrentes.9,,https://fbcdn-profile-a.akamaihd.net/hprofile-ak-prn2/t5/1119394_100005827151148_1236005513_n.jpg,,"=image(F4, 2)"
2.6666666666667,100007417624223,danilo.perez.35762,https://www.facebook.com/danilo.perez.35762,8,https://fbcdn-profile-a.akamaihd.net/hprofile-ak-ash1/273692_100007417624223_1707514859_n.jpg,,"=image(F5, 2)"
0,1076795861,Chriscamal,https://www.facebook.com/Chriscamal,,https://fbcdn-profile-a.akamaihd.net/hprofile-ak-prn2/1117527_1076795861_1368497840_n.jpg,,"=image(F6, 2)"
0,100007185403678,valentina.solismata,https://www.facebook.com/valentina.solismata,,https://fbcdn-profile-a.akamaihd.net/hprofile-ak-prn2/t5/1119417_100007185403678_956956376_n.jpg,,"=image(F7, 2)"
0,702434987,DOACR,https://www.facebook.com/DOACR,,https://fbcdn-profile-a.akamaihd.net/hprofile-ak-prn2/t5/1118271_702434987_319947610_n.jpg,,"=image(F8, 2)"
0,786242161,melangelesvc,https://www.facebook.com/melangelesvc,,https://fbcdn-profile-a.akamaihd.net/hprofile-ak-prn2/187104_786242161_2097130870_n.jpg,,"=image(F9, 2)"
0,100007068098966,santi.quesadas,https://www.facebook.com/santi.quesadas,,https://fbcdn-profile-a.akamaihd.net/hprofile-ak-ash2/1076902_100007068098966_725111059_n.jpg,,"=image(F10, 2)"
0,100007325322305,maria.pastor.798,https://www.facebook.com/maria.pastor.798,,https://fbcdn-profile-a.akamaihd.net/hprofile-ak-ash2/1118079_100007325322305_1008078966_n.jpg,,"=image(F11, 2)"
0,160514020638698,ulacitcostarica,,,,,"=image(F12, 2)"
6.6666666666667,100007354568010,karla.alvarado.3766952,https://www.facebook.com/karla.alvarado.3766952,20,https://fbcdn-profile-a.akamaihd.net/hprofile-ak-prn2/t5/1118763_100007354568010_1114363647_n.jpg,,"=image(F13, 2)"
39.666666666667,100007405984307,cristian.gamboa.3323,https://www.facebook.com/cristian.gamboa.3323,119,https://fbcdn-profile-a.akamaihd.net/hprofile-ak-ash2/1116764_100007405984307_654221457_n.jpg,,"=image(F14, 2)"
0,376155313685,UniversidadLatinadeCostaRica,,,,,"=image(F15, 2)"
100,1499043618,nicidaantonieta,https://www.facebook.com/nicidaantonieta,1247,https://fbcdn-profile-a.akamaihd.net/hprofile-ak-prn2/t5/1119582_1499043618_2104713136_n.jpg,,"=image(F16, 2)"
100,1338020213,Chalovilla,https://www.facebook.com/Chalovilla,2319,https://fbcdn-profile-a.akamaihd.net/hprofile-ak-ash2/1118476_1338020213_369490199_n.jpg,,"=image(F17, 2)"
100,100001931921180,alberto.brizuelaroldan,https://www.facebook.com/alberto.brizuelaroldan,651,https://fbcdn-profile-a.akamaihd.net/hprofile-ak-ash1/186931_100001931921180_252228616_n.jpg,,"=image(F18, 2)"
100,100004196682043,oreamuno.conjohnnyaraya,https://www.facebook.com/oreamuno.conjohnnyaraya,328,https://fbcdn-profile-a.akamaihd.net/hprofile-ak-prn2/1118699_100004196682043_585113050_n.jpg,,"=image(F19, 2)"
0,118971778191074,partidoliberacionnacional,,,,,"=image(F20, 2)"
100,1543984965,rodney.zuniga,https://www.facebook.com/rodney.zuniga,1437,https://fbcdn-profile-a.akamaihd.net/hprofile-ak-ash3/t5/174305_1543984965_5398355_n.jpg,,"=image(F21, 2)"
0,1069750085,gabrielcartin,https://www.facebook.com/gabrielcartin,,https://fbcdn-profile-a.akamaihd.net/hprofile-ak-prn1/t5/371956_1069750085_1236534095_n.jpg,,"=image(F22, 2)"
76.333333333333,1469047385,mariaauxiliadora.morales,https://www.facebook.com/mariaauxiliadora.morales,229,https://fbcdn-profile-a.akamaihd.net/hprofile-ak-prn2/1118053_1469047385_1789672964_n.jpg,,"=image(F23, 2)"
4,100007427320037,amanda.brenes.90,https://www.facebook.com/amanda.brenes.90,12,https://fbcdn-profile-a.akamaihd.net/hprofile-ak-prn2/t5/1076868_100007427320037_1769751582_n.jpg,,"=image(F24, 2)"
100,100000535729035,claurojas16,https://www.facebook.com/claurojas16,1555,https://fbcdn-profile-a.akamaihd.net/hprofile-ak-ash2/1118147_100000535729035_842959836_n.jpg,,"=image(F25, 2)"
0,100007504930777,pln.tilaran,https://www.facebook.com/pln.tilaran,,https://fbcdn-profile-a.akamaihd.net/hprofile-ak-ash2/t5/1116753_100007504930777_1187858519_n.jpg,,"=image(F26, 2)"
0,100006980443722,fedra.morales.77,https://www.facebook.com/fedra.morales.77,,https://fbcdn-profile-a.akamaihd.net/hprofile-ak-ash2/1117823_100006980443722_724976846_n.jpg,,"=image(F27, 2)"
0,100007356609254,smith.garcia.1884,https://www.facebook.com/smith.garcia.1884,,https://fbcdn-profile-a.akamaihd.net/hprofile-ak-ash1/186904_100007356609254_548907374_n.jpg,,"=image(F28, 2)"
100,1296506964,catalina.corraleshernandez,https://www.facebook.com/catalina.corraleshernandez,419,https://fbcdn-profile-a.akamaihd.net/hprofile-ak-ash1/t5/211898_1296506964_295053304_n.jpg,,"=image(F29, 2)"
0,100000509216916,pcotosolano,https://www.facebook.com/pcotosolano,,https://fbcdn-profile-a.akamaihd.net/hprofile-ak-ash2/t5/1086758_100000509216916_1659111174_n.jpg,,"=image(F30, 2)"
0,1525985604,marcia.mongec,https://www.facebook.com/marcia.mongec,,https://fbcdn-profile-a.akamaihd.net/hprofile-ak-prn2/1115721_1525985604_30261021_n.jpg,,"=image(F31, 2)"
100,1363770431,sidney.alejandroelizondoross,https://www.facebook.com/sidney.alejandroelizondoross,3315,https://fbcdn-profile-a.akamaihd.net/hprofile-ak-ash2/1076679_1363770431_701118719_n.jpg,,"=image(F32, 2)"
0,520289149,vhfc2289,https://www.facebook.com/vhfc2289,,https://fbcdn-profile-a.akamaihd.net/hprofile-ak-prn2/t5/1118055_520289149_1484812005_n.jpg,,"=image(F33, 2)"
100,655495367,ronymong,https://www.facebook.com/ronymong,3693,https://fbcdn-profile-a.akamaihd.net/hprofile-ak-ash2/t5/1117956_655495367_1786517166_n.jpg,,"=image(F34, 2)"
100,137700850,jtaylorebanks,https://www.facebook.com/jtaylorebanks,595,https://fbcdn-profile-a.akamaihd.net/hprofile-ak-prn2/1085877_137700850_2000990843_n.jpg,,"=image(F35, 2)"
0,137474816330115,uniofqld,,,,,"=image(F36, 2)"
100,100000705999222,oleodegozo,https://www.facebook.com/oleodegozo,554,https://fbcdn-profile-a.akamaihd.net/hprofile-ak-prn2/t5/211837_100000705999222_650993746_n.jpg,,"=image(F37, 2)"
100,100000595983912,alcaldes.pln.9,https://www.facebook.com/alcaldes.pln.9,4924,https://fbcdn-profile-a.akamaihd.net/hprofile-ak-ash2/t5/1076599_100000595983912_170746371_n.jpg,,"=image(F38, 2)"
0,100000603802328,marcerdas,https://www.facebook.com/marcerdas,,https://fbcdn-profile-a.akamaihd.net/hprofile-ak-prn2/202835_100000603802328_1367573376_n.jpg,,"=image(F39, 2)"
0,100005815802017,naza.fdezcerdas.9,https://www.facebook.com/naza.fdezcerdas.9,,https://fbcdn-profile-a.akamaihd.net/hprofile-ak-ash2/t5/1116481_100005815802017_1040402895_n.jpg,,"=image(F40, 2)"
100,100000199057260,cmoralesedu75,https://www.facebook.com/cmoralesedu75,448,https://fbcdn-profile-a.akamaihd.net/hprofile-ak-prn2/t5/1119069_100000199057260_1540107978_n.jpg,,"=image(F41, 2)"
0,147302288661130,UNED.CR,,,,,"=image(F42, 2)"
